WARN  2022-09-06 22:46:03,449 [main][Main.java:16] : TEST
DEBUG 2022-09-06 22:46:04,045 [main][BasicTypeRegistry.java:145] : Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@d810da41
DEBUG 2022-09-06 22:46:04,045 [main][BasicTypeRegistry.java:145] : Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@d810da41
DEBUG 2022-09-06 22:46:04,047 [main][BasicTypeRegistry.java:145] : Adding type registration date -> org.hibernate.type.DateType@e847c309
DEBUG 2022-09-06 22:46:04,047 [main][BasicTypeRegistry.java:145] : Adding type registration java.sql.Date -> org.hibernate.type.DateType@e847c309
DEBUG 2022-09-06 22:46:04,048 [main][BasicTypeRegistry.java:145] : Adding type registration time -> org.hibernate.type.TimeType@56fc6431
DEBUG 2022-09-06 22:46:04,049 [main][BasicTypeRegistry.java:145] : Adding type registration java.sql.Time -> org.hibernate.type.TimeType@56fc6431
DEBUG 2022-09-06 22:46:04,051 [main][BasicTypeRegistry.java:145] : Adding type registration timestamp -> org.hibernate.type.TimestampType@cb257b73
DEBUG 2022-09-06 22:46:04,051 [main][BasicTypeRegistry.java:145] : Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@cb257b73
DEBUG 2022-09-06 22:46:04,052 [main][BasicTypeRegistry.java:145] : Adding type registration java.util.Date -> org.hibernate.type.TimestampType@cb257b73
DEBUG 2022-09-06 22:46:04,053 [main][BasicTypeRegistry.java:145] : Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@2315c0ca
DEBUG 2022-09-06 22:46:04,054 [main][BasicTypeRegistry.java:145] : Adding type registration calendar -> org.hibernate.type.CalendarType@61a2af2d
DEBUG 2022-09-06 22:46:04,055 [main][BasicTypeRegistry.java:145] : Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@61a2af2d
DEBUG 2022-09-06 22:46:04,055 [main][BasicTypeRegistry.java:145] : Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@61a2af2d
DEBUG 2022-09-06 22:46:04,056 [main][BasicTypeRegistry.java:145] : Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@4923b64f
DEBUG 2022-09-06 22:46:04,057 [main][BasicTypeRegistry.java:145] : Adding type registration locale -> org.hibernate.type.LocaleType@e04b84a4
DEBUG 2022-09-06 22:46:04,058 [main][BasicTypeRegistry.java:145] : Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@e04b84a4
DEBUG 2022-09-06 22:46:04,059 [main][BasicTypeRegistry.java:145] : Adding type registration currency -> org.hibernate.type.CurrencyType@1bb562c4
DEBUG 2022-09-06 22:46:04,059 [main][BasicTypeRegistry.java:145] : Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@1bb562c4
DEBUG 2022-09-06 22:46:04,060 [main][BasicTypeRegistry.java:145] : Adding type registration timezone -> org.hibernate.type.TimeZoneType@9d88d668
DEBUG 2022-09-06 22:46:04,060 [main][BasicTypeRegistry.java:145] : Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@9d88d668
DEBUG 2022-09-06 22:46:04,061 [main][BasicTypeRegistry.java:145] : Adding type registration class -> org.hibernate.type.ClassType@2ebed66f
DEBUG 2022-09-06 22:46:04,062 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Class -> org.hibernate.type.ClassType@2ebed66f
DEBUG 2022-09-06 22:46:04,063 [main][BasicTypeRegistry.java:145] : Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@c9cc8359
DEBUG 2022-09-06 22:46:04,063 [main][BasicTypeRegistry.java:145] : Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@c9cc8359
DEBUG 2022-09-06 22:46:04,064 [main][BasicTypeRegistry.java:145] : Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@bb62c62d
DEBUG 2022-09-06 22:46:04,064 [main][BasicTypeRegistry.java:145] : Adding type registration binary -> org.hibernate.type.BinaryType@88d74349
DEBUG 2022-09-06 22:46:04,065 [main][BasicTypeRegistry.java:145] : Adding type registration byte[] -> org.hibernate.type.BinaryType@88d74349
DEBUG 2022-09-06 22:46:04,065 [main][BasicTypeRegistry.java:145] : Adding type registration [B -> org.hibernate.type.BinaryType@88d74349
DEBUG 2022-09-06 22:46:04,066 [main][BasicTypeRegistry.java:145] : Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@67923002
DEBUG 2022-09-06 22:46:04,067 [main][BasicTypeRegistry.java:145] : Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@67923002
DEBUG 2022-09-06 22:46:04,067 [main][BasicTypeRegistry.java:145] : Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@67923002
DEBUG 2022-09-06 22:46:04,068 [main][BasicTypeRegistry.java:145] : Adding type registration row_version -> org.hibernate.type.RowVersionType@1016ab06
DEBUG 2022-09-06 22:46:04,069 [main][BasicTypeRegistry.java:145] : Adding type registration image -> org.hibernate.type.ImageType@856cebc5
DEBUG 2022-09-06 22:46:04,070 [main][BasicTypeRegistry.java:145] : Adding type registration characters -> org.hibernate.type.CharArrayType@7d3b56f1
DEBUG 2022-09-06 22:46:04,070 [main][BasicTypeRegistry.java:145] : Adding type registration char[] -> org.hibernate.type.CharArrayType@7d3b56f1
DEBUG 2022-09-06 22:46:04,071 [main][BasicTypeRegistry.java:145] : Adding type registration [C -> org.hibernate.type.CharArrayType@7d3b56f1
DEBUG 2022-09-06 22:46:04,072 [main][BasicTypeRegistry.java:145] : Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@6f6b1408
DEBUG 2022-09-06 22:46:04,073 [main][BasicTypeRegistry.java:145] : Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@6f6b1408
DEBUG 2022-09-06 22:46:04,073 [main][BasicTypeRegistry.java:145] : Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@6f6b1408
DEBUG 2022-09-06 22:46:04,074 [main][BasicTypeRegistry.java:145] : Adding type registration text -> org.hibernate.type.TextType@9be84844
DEBUG 2022-09-06 22:46:04,075 [main][BasicTypeRegistry.java:145] : Adding type registration ntext -> org.hibernate.type.NTextType@89c127e4
DEBUG 2022-09-06 22:46:04,078 [main][BasicTypeRegistry.java:145] : Adding type registration blob -> org.hibernate.type.BlobType@34895c6
DEBUG 2022-09-06 22:46:04,078 [main][BasicTypeRegistry.java:145] : Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@34895c6
DEBUG 2022-09-06 22:46:04,079 [main][BasicTypeRegistry.java:145] : Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@9cc7f815
DEBUG 2022-09-06 22:46:04,082 [main][BasicTypeRegistry.java:145] : Adding type registration clob -> org.hibernate.type.ClobType@bc97385
DEBUG 2022-09-06 22:46:04,082 [main][BasicTypeRegistry.java:145] : Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@bc97385
DEBUG 2022-09-06 22:46:04,084 [main][BasicTypeRegistry.java:145] : Adding type registration nclob -> org.hibernate.type.NClobType@d4568bb6
DEBUG 2022-09-06 22:46:04,085 [main][BasicTypeRegistry.java:145] : Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@d4568bb6
DEBUG 2022-09-06 22:46:04,085 [main][BasicTypeRegistry.java:145] : Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@75af90ce
DEBUG 2022-09-06 22:46:04,086 [main][BasicTypeRegistry.java:145] : Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@14657b5b
DEBUG 2022-09-06 22:46:04,087 [main][BasicTypeRegistry.java:145] : Adding type registration serializable -> org.hibernate.type.SerializableType@eb835ac1
DEBUG 2022-09-06 22:46:04,088 [main][BasicTypeRegistry.java:145] : Adding type registration object -> org.hibernate.type.ObjectType@5d7a81ce
DEBUG 2022-09-06 22:46:04,089 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@5d7a81ce
DEBUG 2022-09-06 22:46:04,089 [main][BasicTypeRegistry.java:145] : Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@6a2bfdfa
DEBUG 2022-09-06 22:46:04,090 [main][BasicTypeRegistry.java:145] : Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@6954a6cc
DEBUG 2022-09-06 22:46:04,090 [main][BasicTypeRegistry.java:145] : Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@786c645b
DEBUG 2022-09-06 22:46:04,091 [main][BasicTypeRegistry.java:145] : Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@34ee38c5
DEBUG 2022-09-06 22:46:04,091 [main][BasicTypeRegistry.java:145] : Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@26d75695
DEBUG 2022-09-06 22:46:04,091 [main][BasicTypeRegistry.java:145] : Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@5734c8ae
DEBUG 2022-09-06 22:46:04,092 [main][BasicTypeRegistry.java:145] : Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@dc6db6d5
DEBUG 2022-09-06 22:46:04,092 [main][BasicTypeRegistry.java:145] : Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@da9e22b9
WARN  2022-09-06 22:46:04,099 [main][DriverManagerConnectionProviderImpl.java:70] : HHH10001002: Using Hibernate built-in connection pool (not for production use!)
INFO  2022-09-06 22:46:04,106 [main][DriverManagerConnectionProviderImpl.java:126] : HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/classicmodels?serverTimezone=UTC]
INFO  2022-09-06 22:46:04,107 [main][DriverManagerConnectionProviderImpl.java:132] : HHH10001001: Connection properties: {password=rootroot, user=root}
INFO  2022-09-06 22:46:04,108 [main][DriverManagerConnectionProviderImpl.java:140] : HHH10001003: Autocommit mode: false
DEBUG 2022-09-06 22:46:04,111 [main][DelegatingBasicLogger.java:384] : Initializing Connection pool with 1 Connections
INFO  2022-09-06 22:46:04,112 [main][PooledConnections.java:41] : HHH000115: Hibernate connection pool size: 5 (min=1)
DEBUG 2022-09-06 22:46:04,602 [main][JdbcEnvironmentInitiator.java:72] : Database ->
       name : MySQL
    version : 8.0.29
      major : 8
      minor : 0
DEBUG 2022-09-06 22:46:04,602 [main][JdbcEnvironmentInitiator.java:83] : Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.29 (Revision: dd61577595edad45c398af508cf91ad26fc4144f)
      major : 8
      minor : 0
DEBUG 2022-09-06 22:46:04,603 [main][DelegatingBasicLogger.java:389] : JDBC version : 4.2
INFO  2022-09-06 22:46:04,609 [main][Dialect.java:153] : HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
DEBUG 2022-09-06 22:46:04,656 [main][IdentifierHelperBuilder.java:117] : JDBC driver metadata reported database stores quoted identifiers in more than one case
DEBUG 2022-09-06 22:46:04,657 [main][IdentifierHelperBuilder.java:191] : IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
DEBUG 2022-09-06 22:46:04,682 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
DEBUG 2022-09-06 22:46:04,682 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
DEBUG 2022-09-06 22:46:04,684 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
DEBUG 2022-09-06 22:46:04,684 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
DEBUG 2022-09-06 22:46:04,684 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
DEBUG 2022-09-06 22:46:04,685 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
DEBUG 2022-09-06 22:46:04,685 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
DEBUG 2022-09-06 22:46:04,686 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
DEBUG 2022-09-06 22:46:04,687 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
DEBUG 2022-09-06 22:46:04,688 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
DEBUG 2022-09-06 22:46:04,688 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
DEBUG 2022-09-06 22:46:04,688 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
DEBUG 2022-09-06 22:46:04,689 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
DEBUG 2022-09-06 22:46:04,689 [main][DefaultIdentifierGeneratorFactory.java:81] : Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
DEBUG 2022-09-06 22:46:04,710 [main][Namespace.java:47] : Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
DEBUG 2022-09-06 22:46:04,732 [main][AnnotationBinder.java:511] : Binding entity from annotated class: org.example.models.Author
DEBUG 2022-09-06 22:46:04,743 [main][Ejb3Column.java:213] : Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
DEBUG 2022-09-06 22:46:04,747 [main][EntityBinder.java:416] : Import with entity name Author
DEBUG 2022-09-06 22:46:04,750 [main][EntityBinder.java:692] : Bind entity org.example.models.Author on table Author
DEBUG 2022-09-06 22:46:04,766 [main][Ejb3Column.java:213] : Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Author), mappingColumn=id, insertable=true, updatable=true, unique=false}
DEBUG 2022-09-06 22:46:04,768 [main][PropertyBinder.java:174] : MetadataSourceProcessor property id with lazy=false
DEBUG 2022-09-06 22:46:04,769 [main][AbstractPropertyHolder.java:89] : Attempting to locate auto-apply AttributeConverter for property [org.example.models.Author:id]
DEBUG 2022-09-06 22:46:04,770 [main][SimpleValueBinder.java:398] : building SimpleValue for id
DEBUG 2022-09-06 22:46:04,771 [main][PropertyBinder.java:265] : Building property id
DEBUG 2022-09-06 22:46:04,775 [main][Ejb3Column.java:213] : Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Author), mappingColumn=name, insertable=true, updatable=true, unique=false}
DEBUG 2022-09-06 22:46:04,775 [main][PropertyBinder.java:174] : MetadataSourceProcessor property name with lazy=false
DEBUG 2022-09-06 22:46:04,775 [main][AbstractPropertyHolder.java:89] : Attempting to locate auto-apply AttributeConverter for property [org.example.models.Author:name]
DEBUG 2022-09-06 22:46:04,775 [main][SimpleValueBinder.java:398] : building SimpleValue for name
DEBUG 2022-09-06 22:46:04,776 [main][PropertyBinder.java:265] : Building property name
DEBUG 2022-09-06 22:46:04,776 [main][Ejb3Column.java:213] : Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Author), mappingColumn=salary, insertable=true, updatable=true, unique=false}
DEBUG 2022-09-06 22:46:04,776 [main][PropertyBinder.java:174] : MetadataSourceProcessor property salary with lazy=false
DEBUG 2022-09-06 22:46:04,777 [main][AbstractPropertyHolder.java:89] : Attempting to locate auto-apply AttributeConverter for property [org.example.models.Author:salary]
DEBUG 2022-09-06 22:46:04,777 [main][SimpleValueBinder.java:398] : building SimpleValue for salary
DEBUG 2022-09-06 22:46:04,777 [main][PropertyBinder.java:265] : Building property salary
DEBUG 2022-09-06 22:46:04,778 [main][AnnotationBinder.java:511] : Binding entity from annotated class: org.example.models.Book
DEBUG 2022-09-06 22:46:04,778 [main][Ejb3Column.java:213] : Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
DEBUG 2022-09-06 22:46:04,778 [main][EntityBinder.java:416] : Import with entity name Book
DEBUG 2022-09-06 22:46:04,778 [main][EntityBinder.java:692] : Bind entity org.example.models.Book on table Book
DEBUG 2022-09-06 22:46:04,779 [main][Ejb3Column.java:213] : Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Book), mappingColumn=id, insertable=true, updatable=true, unique=false}
DEBUG 2022-09-06 22:46:04,779 [main][PropertyBinder.java:174] : MetadataSourceProcessor property id with lazy=false
DEBUG 2022-09-06 22:46:04,780 [main][AbstractPropertyHolder.java:89] : Attempting to locate auto-apply AttributeConverter for property [org.example.models.Book:id]
DEBUG 2022-09-06 22:46:04,780 [main][SimpleValueBinder.java:398] : building SimpleValue for id
DEBUG 2022-09-06 22:46:04,780 [main][PropertyBinder.java:265] : Building property id
DEBUG 2022-09-06 22:46:04,780 [main][Ejb3Column.java:213] : Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Book), mappingColumn=author_id, insertable=true, updatable=true, unique=false}
DEBUG 2022-09-06 22:46:04,780 [main][PropertyBinder.java:174] : MetadataSourceProcessor property author_id with lazy=false
DEBUG 2022-09-06 22:46:04,781 [main][AbstractPropertyHolder.java:89] : Attempting to locate auto-apply AttributeConverter for property [org.example.models.Book:author_id]
DEBUG 2022-09-06 22:46:04,781 [main][SimpleValueBinder.java:398] : building SimpleValue for author_id
DEBUG 2022-09-06 22:46:04,781 [main][PropertyBinder.java:265] : Building property author_id
